timestamp,ch1
1717509721.9239848,-25218.646254378113
1717509721.9279847,-25218.690957867024
1717509721.931985,-25223.675396880557
1717509721.9359848,-25222.356643957693
1717509721.9399848,-25220.322635212262
1717509721.9439847,-25226.111737026185
1717509721.947985,-25229.218629505474
1717509721.951985,-25224.301245725306
1717509721.9559848,-25226.692882382024
1717509721.9599848,-25232.52668768486
1717509721.9639847,-25229.91153358359
1717509721.967985,-25226.290550981827
1717509721.9719849,-25225.731757370446
1717509721.9759848,-25227.721062626966
1717509721.9799848,-25225.105908525697
1717509721.9839847,-25222.535457913335
1717509721.987985,-25221.21670499047
1717509721.9919848,-25226.111737026185
1717509721.9959848,-25231.409100462093
1717509721.999985,-25227.60930390469
1717509722.003985,-25223.384824202636
1717509722.0079849,-25229.7550713724
1717509722.011985,-25232.861963851687
1717509722.015985,-25229.397443461115
1717509722.019985,-25228.99511206092
1717509722.023985,-25232.057301051296
1717509722.027985,-25232.28081849585
1717509722.031985,-25232.75020512941
1717509722.035985,-25226.8046411043
1717509722.039985,-25225.17296375906
1717509722.043985,-25237.28760925384
1717509722.047985,-25229.620960905668
1717509722.051985,-25227.832821349242
1717509722.055985,-25229.50920218339
1717509722.059985,-25236.572353431267
1717509722.0639849,-25236.86292610919
1717509722.067985,-25235.834745864242
1717509722.071985,-25235.141841786128
1717509722.075985,-25231.833783606744
1717509722.0799847,-25234.448937708014
1717509722.0839846,-25234.650103408112
1717509722.0879846,-25232.839612107233
1717509722.0919847,-25228.32455972726
1717509722.0959847,-25232.459632451493
1717509722.0999846,-25237.46642320948
1717509722.1039846,-25223.206010246995
1717509722.1079848,-25226.46936493747
1717509722.1119847,-25233.644274907623
1717509722.1159847,-25236.23707726444
1717509722.1199846,-25236.773519131366
1717509722.1239846,-25238.94163834353
1717509722.1279848,-25241.46738546698
1717509722.1319847,-25235.700635397512
1717509722.1359847,-25229.263332994382
1717509722.1399846,-25223.161306758084
1717509722.1439846,-25223.250713735906
1717509722.1479847,-25230.93971382853
1717509722.1519847,-25233.308998740795
1717509722.1559846,-25234.38188247465
1717509722.1599846,-25236.102966797705
1717509722.1639845,-25240.37214998867
1717509722.1679845,-25242.786138389845
1717509722.1719847,-25239.500431954915
1717509722.1759846,-25227.542248671325
1717509722.1799846,-25233.308998740795
1717509722.1839845,-25239.925115099566
1717509722.1879847,-25237.600533676214
1717509722.1919847,-25236.818222620277
1717509722.1959846,-25239.478080210458
1717509722.1999846,-25235.253600508404
1717509722.2039845,-25227.40813820459
1717509722.2079847,-25236.058263308798
1717509722.2119846,-25239.455728466004
1717509722.2159846,-25233.398405718614
1717509722.2199845,-25229.196277761017
1717509722.2239845,-25235.27595225286
1717509722.2279847,-25232.169059773572
1717509722.2319846,-25238.159327287594
1717509722.2359846,-25240.95329534451
1717509722.2399845,-25236.751167386912
1717509722.2439845,-25238.56165868779
1717509722.2479844,-25237.868754609677
1717509722.2519846,-25233.13018478515
1717509722.2559845,-25233.912495841087
1717509722.2599845,-25240.57331568877
1717509722.2639844,-25237.801699376312
1717509722.2679846,-25232.727853384957
1717509722.2719846,-25230.224458005963
1717509722.2759845,-25233.823088863264
1717509722.2799845,-25233.487812696436
1717509722.2839844,-25239.053397065807
1717509722.2879846,-25240.57331568877
1717509722.2919846,-25237.37701623166
1717509722.2959845,-25232.57139117377
1717509722.2999845,-25231.94554232902
1717509722.3039844,-25239.679245910556
1717509722.3079846,-25235.365359230684
1717509722.3119845,-25230.26916149487
1717509722.3159845,-25232.884315596144
1717509722.3199844,-25231.856135351198
1717509722.3239844,-25231.163231273084
1717509722.3279843,-25236.259429008893
1717509722.3319845,-25231.654969651103
1717509722.3359845,-25237.779347631855
1717509722.3399844,-25243.166118045585
1717509722.3439844,-25249.648123937623
1717509722.3479846,-25248.530536714858
1717509722.3519845,-25240.841536622233
1717509722.3559844,-25237.220554020474
1717509722.3599844,-25235.90180109761
1717509722.3639843,-25241.892068611633
1717509722.3679845,-25249.558716959804
1717509722.3719845,-25240.059225566296
1717509722.3759844,-25237.980513331953
1717509722.3799844,-25235.678283653055
1717509722.3839843,-25240.841536622233
1717509722.3879845,-25237.84640286522
1717509722.3919845,-25231.073824295265
1717509722.3959844,-25237.153498787105
1717509722.3999844,-25240.685074411045
1717509722.4039843,-25245.110719813198
1717509722.4079843,-25241.780309889356
1717509722.4119844,-25236.147670286617
1717509722.4159844,-25232.61609466268
1717509722.4199843,-25227.251675993404
1717509722.4239843,-25231.118527784172
1717509722.4279845,-25237.175850531563
1717509722.4319844,-25243.344932001226
1717509722.4359844,-25239.76865288838
1717509722.4399843,-25238.986341832442
1717509722.4439843,-25241.221516277972
1717509722.4479845,-25244.797795390823
1717509722.4519844,-25241.936772100544
1717509722.4559844,-25237.220554020474
1717509722.4599843,-25236.147670286617
1717509722.4639843,-25238.89693485462
1717509722.4679844,-25248.731702414956
1717509722.4719844,-25250.206917549007
1717509722.4759843,-25243.456690723502
1717509722.4799843,-25245.915382613588
1717509722.4839842,-25244.507222712902
1717509722.4879842,-25248.19526054803
1717509722.4919844,-25243.99313259043
1717509722.4959843,-25241.5567924448
1717509722.4999843,-25242.361455245195
1717509722.5039842,-25251.793891405334
1717509722.5079844,-25255.705446685013
1717509722.5119843,-25254.47610073997
1717509722.5159843,-25250.117510571185
1717509722.5199842,-25249.04462683733
1717509722.5239842,-25250.989228604943
1717509722.5279844,-25249.84928963772
1717509722.5319843,-25255.794853662832
1717509722.5359843,-25258.566469975292
1717509722.5399842,-25255.057246095806
1717509722.5439842,-25250.385731504648
1717509722.5479844,-25252.218574549985
1717509722.5519843,-25252.24092629444
1717509722.5559843,-25244.976609346464
1717509722.5599842,-25251.61507744969
1717509722.5639842,-25247.435301236546
1717509722.567984,-25252.95618211701
1717509722.5719843,-25258.27589729737
1717509722.5759842,-25257.47123449698
1717509722.5799842,-25258.05237985282
1717509722.5839841,-25262.455673510514
1717509722.5879843,-25257.560641474804
1717509722.5919843,-25255.638391451645
1717509722.5959842,-25259.259374053407
1717509722.5999842,-25259.61700196469
1717509722.603984,-25251.52567047187
1717509722.6079843,-25257.918269386086
1717509722.6119843,-25259.90757464261
1717509722.6159842,-25257.493586241435
1717509722.6199841,-25250.6092489492
1717509722.623984,-25248.686998926045
1717509722.6279843,-25252.486795483448
1717509722.6319842,-25251.413911749594
1717509722.6359842,-25247.301190769816
1717509722.6399841,-25258.47706299747
1717509722.643984,-25261.7627694324
1717509722.647984,-25252.620905950178
1717509722.6519842,-25250.408083249105
1717509722.6559842,-25252.129167572162
1717509722.659984,-25243.724911656966
1717509722.663984,-25251.19039430504
1717509722.6679842,-25260.28755429835
1717509722.6719842,-25258.387656019648
1717509722.6759841,-25255.884260640654
1717509722.679984,-25253.671437939578
1717509722.683984,-25253.29145828384
1717509722.6879842,-25254.297286784327
1717509722.6919842,-25247.077673325264
1717509722.6959841,-25245.624809935667
1717509722.699984,-25250.89982162712
1717509722.703984,-25262.030990365864
1717509722.7079842,-25258.454711253013
1717509722.7119842,-25255.75015017392
1717509722.715984,-25253.403217006115
1717509722.719984,-25252.10681582771
1717509722.723984,-25253.13499607265
1717509722.727984,-25258.387656019648
